Story ID	Area	Feature	User story	Expected behavior	Code refs	Automated coverage	Test status	Defect status	Priority	Notes
JUN-042	Agent	Attachments	As a user, I want to attach files or drop files into a June session.	Attach menu imports selected files or dropped file paths/bytes into Hermes workspace, shows attachment chips, allows removal, and sends imported attachment references with the prompt.	src/components/agent/AgentWorkspace.tsx; src/lib/tauri.ts	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-043	Agent	Generated artifact cards	As a user, I want generated files to appear as downloadable artifacts.	Assistant messages that mention workspace files produce artifact cards once, distinguish user attachments, handle duplicate filenames, and download/open supported previews from the session files bar.	src/components/agent/AgentWorkspace.tsx; src/lib/tauri.ts	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-044	Agent	Session bar and rename	As a user, I want to rename sessions and use breadcrumbs back to their origin.	Session bar shows title, breadcrumbs, files button, actions menu, inline rename commit/cancel, and origin back links for Projects, Routines, and Sessions.	src/components/agent/AgentWorkspace.tsx; src/app/App.tsx	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-045	Agent	Session list	As a user, I want to browse, search, select, move, and bulk-delete agent sessions.	Sessions workspace shows active statuses first, search, selection toolbar, move-to-project dialog, bulk delete confirmation, and row status indicators.	src/components/agent/AgentSessionsList.tsx; src/components/folders/MoveSessionToProjectDialog.tsx	src/test/agent-sessions-list.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-046	Agent	Sidebar session states	As a user, I want the sidebar to signal pinned, working, waiting, unread, and deleting sessions.	Sidebar loads sessions with retry, caps visible rows, persists pinned order, marks waiting/working/unread states from session events, and clears unread when opened.	src/components/sidebar/Sidebar.tsx; src/lib/agent-events.ts	src/test/folders.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-047	Agent	Approvals and clarifications	As a user, I want tool approval and clarification prompts to be understandable before I respond.	Agent renders pending approvals, explains approval impact, falls back if explanation fails, supports available choices, and responds to clarify requests.	src/components/agent/AgentWorkspace.tsx; src/lib/tauri.ts	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Security/UX-sensitive. Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-048	Agent	CLI access request card	As a user, I want June to request CLI settings access explicitly when needed.	CLI access request renders as a card, can enable agent CLI access, respects already-granted state, and can be dismissed without changing settings.	src/components/agent/AgentWorkspace.tsx; src/components/settings/AgentSettingsSection.tsx; src/lib/agent-cli-access.ts	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Security-sensitive. Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-049	Agent	Error handling	As a user, I want agent connection, busy, failed, and out-of-credit errors to be clear and actionable.	Busy rejections remove ghost bubbles, connection-shaped errors offer retry/dismiss, insufficient credits show top-up instead of raw 402, and dev error gallery surfaces states.	src/components/agent/AgentWorkspace.tsx; src/lib/errors.ts	src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-050	Agent	Issue reporting through chat	As a user, I want bug/report categories to seed the agent composer and submit useful diagnostics.	Report issue from identity/settings seeds a category chip, wraps submitted report for June, displays only user-facing text, and files the report after turn completion.	src/components/agent/AgentWorkspace.tsx; src/components/agent/composer/CategoryChipView.tsx; src/components/agent/composer/CategorySuggestionList.tsx; src/components/agent/composer/reportCategory.ts; src/lib/issue-report-prompt.ts	src/test/agent-workspace.test.tsx; src/test/issue-report-prompt.test.ts; src/test/report-category.test.ts	Automated pass; native startup smoke pass	None logged	P1	Previous prod webhook noise was removed separately. Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-051	Agent HUD	Session HUD	As a user, I want a small HUD with live agent status and quick reply.	Settings toggle shows/hides HUD, native window can focus reply/open session, menu bar state reflects working/waiting sessions, and HUD does not conflict with meeting/dictation HUDs.	src/agent-hud.ts; src-tauri/src/agent_hud.rs; src/lib/agent-hud-settings.ts; src/lib/menu-bar.ts	src/test/agent-hud.test.ts; src/test/menu-bar.test.ts	Automated pass; HUD browser smoke pass; native startup smoke pass; overlay visual pending	None logged	P1	Headless Chrome verified the standalone HUD blank state, automated tests cover active-session behavior, and native startup smoke passed. Native overlay placement/interactivity still needs manual visual inspection because WKWebView capture is unavailable.
JUN-052	Routines	Routine list and refresh	As a user, I want to see scheduled routines and refresh their state.	Routines page loads jobs, sorts scheduled before paused/completed, searches by name/prompt/schedule, refreshes jobs and run history independently, and degrades if run history is unavailable.	src/components/routines/RoutinesView.tsx; src/lib/hermes-routines.ts; src/lib/hermes-adapter.ts	src/test/routines-view.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-053	Routines	Starter templates	As a user, I want starter routine templates for common automations.	Empty and non-empty routines pages show starter templates, unrestricted templates are badged, and selecting one opens create prefilled with template defaults.	src/components/routines/RoutinesView.tsx; src/components/routines/routine-templates.ts; src/components/routines/RoutineCreate.tsx	src/test/routines-view.test.tsx	Automated pass; native startup smoke pass	None logged	P2	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-054	Routines	Create routine	As a user, I want to create a scheduled routine with name, prompt, schedule, and access mode.	Create page validates input, supports schedule picker, creates a Hermes cron job, then opens detail; errors stay visible without losing draft.	src/components/routines/RoutineCreate.tsx; src/components/routines/SchedulePicker.tsx; src/lib/hermes-routines.ts	src/test/routines-view.test.tsx; src/test/routine-schedule.test.ts	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-055	Routines	Describe routine to June	As a user, I want to describe an automation and let June set it up.	Bottom describe bar accepts freeform text, can choose sandboxed/unrestricted, builds a routine-creation prompt, and hands off to a new agent session.	src/components/routines/RoutinesView.tsx; src/lib/hermes-routines.ts	src/test/routines-view.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-056	Routines	Routine detail actions	As a user, I want to edit, pause/resume, run now, and delete a routine.	Detail page saves updates, toggles paused/scheduled with reload, can trigger Run now, shows detail errors, delete confirmation removes job and returns to list if needed.	src/components/routines/RoutineDetail.tsx; src/components/routines/RoutinesView.tsx	src/test/routines-view.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-057	Routines	Run history	As a user, I want to inspect previous routine runs and open their sessions.	Run history lists cron-sourced Hermes sessions, labels by current routine when available, keeps orphaned deleted-routine runs visible, and opens selected run in agent view with Routines breadcrumb.	src/components/routines/RoutineRunList.tsx; src/components/routines/RoutinesView.tsx; src/lib/hermes-adapter.ts	src/test/routines-view.test.tsx	Automated pass; native startup smoke pass	None logged	P2	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-058	Dictation	HUD dictation lifecycle	As a user, I want push-to-talk/toggle dictation to show listening, transcribing, paste-complete, and error states.	Dictation HUD responds to helper events, avoids conflict with meeting/agent HUDs, handles already-listening by shaking in-place, and hides after agent handoff or empty result.	src/meeting-hud.ts; src/lib/dictation-events.ts; src-tauri/src/dictation.rs	src/test/hud-meeting.test.ts; src/test/dictation-events.test.ts	Automated pass; HUD/browser smoke pass; hardware manual pending	None logged	P0	Manual proof requires hotkeys/helper. Automated coverage passed; full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-059	Dictation	History page	As a user, I want a searchable seven-day dictation history.	Dictation page loads history, groups by date, shows retention days, searches text/provider/language, refreshes on final transcript event, and shows empty/unavailable states.	src/components/dictation/DictationHistoryView.tsx; src-tauri/src/dictation.rs	src/test/dictation-history.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-060	Dictation	Copy and delete history items	As a user, I want to copy or delete individual dictations.	Rows support truncation expansion, copy writes text plus trailing space with feedback, delete uses confirmation and keeps dialog open on failure.	src/components/dictation/DictationHistoryView.tsx	src/test/dictation-history.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-061	Dictation	Get more from dictation card	As a frequent dictation user, I want suggestions for writing style and dictionary setup.	After enough usage, card appears only if style or dictionary is unconfigured, links to the right settings sections, and persists dismissal.	src/components/dictation/DictationHistoryView.tsx	src/test/dictation-history.test.tsx	Automated pass; native startup smoke pass	None logged	P2	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-062	Settings	General theme	As a user, I want to choose system, light, or dark theme.	General settings loads stored theme, segmented control updates preference, document theme changes immediately, and setting persists.	src/components/settings/AppSettings.tsx; src/lib/theme.ts	src/test/app-settings.test.tsx	Automated pass; native startup smoke pass	None logged	P2	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-063	Settings	Shortcut capture	As a user, I want to customize dictation shortcuts safely.	Shortcuts settings captures key chords, requires modifiers when needed, saves push-to-talk/toggle separately, shows errors, and updates labels after helper events.	src/components/settings/AppSettings.tsx; src/components/shortcuts/use-shortcut-capture.ts; src-tauri/src/dictation.rs	src/test/app-settings.test.tsx; src/test/app-shortcut.test.tsx	Automated pass; native startup smoke pass; hardware manual pending	None logged	P1	Automated coverage passed; full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-064	Settings	Dictation preferences	As a user, I want to choose dictation style, language, microphone, and dictionary entries.	Settings loads dictation settings/devices, saves style/language/microphone, supports mic popover placement, and dictionary entries can create/update/delete phrases.	src/components/settings/AppSettings.tsx; src/components/settings/StyleSettingsSection.tsx; src/components/settings/DictionarySettingsSection.tsx	src/test/dictionary-settings.test.tsx; src/test/style-settings.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-065	Settings	Audio settings and mic test	As a user, I want to verify audio input and recording source readiness.	Audio settings shows microphone/system readiness, opens permissions, toggles system audio mode, runs a timed mic test, plays sample, and resets test state when leaving Audio.	src/components/settings/AppSettings.tsx; src/components/settings/MicTestControl.tsx; src-tauri/src/dictation.rs	src/test/app-settings.test.tsx	Automated pass; native startup smoke pass; hardware manual pending	None logged	P1	Manual proof requires microphone. Automated coverage passed; full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-066	Settings	Model settings	As a user, I want to configure transcription and generation models.	Models tab loads selected models and Venice catalog, supports suggested/all tabs and search, saves selected model per mode, and emits model-setting changed events.	src/components/settings/AppSettings.tsx; src/components/settings/ModelPickerDialog.tsx; src/lib/suggested-models.ts	src/test/app-settings.test.tsx; src/test/provider-logo.test.tsx; src/test/model-privacy.test.ts	Automated pass; native startup smoke pass	None logged	P1	Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable. Retested after anonymous model privacy copy fix.
JUN-067	Settings	Agent settings	As a user, I want to configure agent HUD, CLI access, skills, messaging platforms, and files.	Agent tab toggles HUD, sets agent CLI access, lists/toggles skills/toolsets, loads messaging platforms, handles refresh, and shows filesystem snapshot/download/preview/import actions.	src/components/settings/AgentSettingsSection.tsx; src/components/agent/AgentWorkspace.tsx; src/lib/tauri.ts	src/test/app-settings.test.tsx; src/test/agent-workspace.test.tsx	Automated pass; native startup smoke pass	None logged	P1	Previous user-reported messaging loading issue belongs here. Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-068	Settings	About, verification, report issue, update check	As a user, I want About to show version/commit, verify server, report issues, and check for updates.	About shows version and commit, opens server verification page, seeds report issue flow, supports manual update check event, and shows update/download/relaunch prompts.	src/components/settings/AppSettings.tsx; src/app/App.tsx; src/app/update-decision.ts; src/lib/updater.ts	src/test/app-settings.test.tsx; src/test/update-decision.test.ts; src/test/version-bump.test.mjs	Automated pass; native startup smoke pass	None logged	P1	Manual update proof may need signed build/updater feed. Native startup smoke passed with pnpm tauri:dev; WKWebView visual inspection remains pending because session UI capture is unavailable.
JUN-069	Backend	Local database and migrations	As a user, I want notes, folders, recordings, dictation history, and agent session assignments to persist locally.	SQLite migrations initialize and evolve schema, repositories preserve processing/turn metadata, and app bootstrap loads notes/folders/recoveries consistently.	src-tauri/migrations; src-tauri/src/db; src-tauri/src/commands.rs	pnpm test:rust	Automated pass	None logged	P0	Covered by repository automated suites in this QA pass.
JUN-070	Backend	Audio capture and validation	As a user, I want captured audio artifacts to be validated before transcription.	Backend records microphone/system WAV artifacts, tracks source states/levels/warnings, validates audio, marks recoverable/failed states, and queues processing only after valid artifacts.	src-tauri/src/audio/capture.rs; src-tauri/src/commands.rs; src-tauri/src/domain/processing_queue.rs	src/test/recorder.test.tsx; pnpm test:rust	Automated pass; native startup smoke pass; hardware manual pending	None logged	P0	Manual proof requires real recording devices. Automated coverage passed; full manual proof still requires macOS permissions, real audio devices, hotkeys, or overlay inspection.
JUN-071	Backend	Transcription and generation pipeline	As a user, I want a finished recording to become usable notes.	Processing detects turns, transcribes valid segments, preserves manual notes as user context, generates notes, persists source transcripts/audio metadata, and tolerates partial turn failures.	src-tauri/src/domain/processing.rs; src-tauri/src/audio/turns.rs; specs/003-conversation-turns/plan.md	src-tauri/tests/processing.rs; src/test/note-editor.test.tsx	Automated pass	None logged	P0	Covered by repository automated suites in this QA pass.
JUN-072	Backend	Provider configuration	As a local/open-source user, I want model provider configuration to work from local config.	App reports providerConfigured, provider/model settings load through Tauri, missing provider state is handled without crashing, and local dev can bypass account gates where intended.	src-tauri/src/providers/mod.rs; src/lib/tauri.ts; src/app/App.tsx	src/test/app-shortcut.test.tsx; src/test/app-state.test.ts; src/test/app-settings.test.tsx	Automated pass; native startup smoke pass	None logged	P0	Provider configuration paths are covered by automated app state tests. Settings component tests cover loading provider/model settings, rendering model choices, saving transcription/text model choices, suggested/all model tabs, and blocking tool-less text models. Native startup smoke passed with pnpm tauri:dev.
JUN-073	June API	OS Accounts metering	As an API user, I want June API requests to authorize and meter usage through OS Accounts.	June API validates app/user credentials, authorizes usage, charges successful usage, and surfaces clear auth/billing failures to clients.	june-api/crates/api; june-api/crates/services; june-api/crates/providers; june-api/crates/config	pnpm test:june-api	Automated pass; fixed and retested	Fixed: root API test script now uses june-api Rust toolchain	P0	Root pnpm test:june-api initially used default rustc 1.93.1 and failed the workspace rust-version 1.95 requirement. Changed package.json to cd into june-api so rust-toolchain.toml applies, and serialized tests to avoid local open-file exhaustion. pnpm test:june-api now passes.
JUN-074	June API	Transcription and chat endpoints	As a client, I want June API transcription and agent chat endpoints to route to configured providers.	API accepts supported request shapes, proxies/transforms provider calls, normalizes streaming/non-streaming output where implemented, and preserves provider error codes.	june-api/crates/api/src/handlers; june-api/crates/providers/src; june-api/crates/services/src	pnpm test:june-api	Automated pass; fixed and retested	Fixed: root API test script now uses june-api Rust toolchain	P0	Root pnpm test:june-api initially used default rustc 1.93.1 and failed the workspace rust-version 1.95 requirement. Changed package.json to cd into june-api so rust-toolchain.toml applies, and serialized tests to avoid local open-file exhaustion. pnpm test:june-api now passes.
JUN-075	Quality	Empty states demo hooks	As a developer, I want deterministic empty-state previews for UI QA.	Dev hooks force empty notes/projects/sessions/routines/dictations without mutating real data and restore real state when disabled.	src/lib/empty-states-demo.ts; src/components/sidebar/Sidebar.tsx; src/components/folders/FoldersWorkspace.tsx; src/components/routines/RoutinesView.tsx; src/components/dictation/DictationHistoryView.tsx	src/test/folders-workspace.test.tsx; src/test/folders.test.tsx; src/test/routines-view.test.tsx	Automated pass	None logged	P2	Covered by repository automated suites in this QA pass.
JUN-076	Quality	Dialog and popover layering	As a user, I want dialogs, hover tips, context menus, and titlebar chrome to layer correctly.	Modal dialogs stay above titlebar/sidebar chrome, hover tips appear above dialogs when intended, context menus fit in viewport, and Escape/outside click closes transient surfaces.	src/styles/app.css; src/components/ui/Dialog.tsx; src/components/ui/HoverTip.tsx; src/components/sidebar/Sidebar.tsx	src/test/dialog-layering.test.ts; src/test/folders.test.tsx	Automated pass	None logged	P1	Covered by repository automated suites in this QA pass.
JUN-077	Quality	Native context menus and scroll affordances	As a user, I want native context menus and custom scroll thumb behavior to feel consistent.	Native context menu adapter opens where wired, scroll thumbs fade on scroll/pointer activity, timers clean up on detach, and wheel/mouse movement keeps thumb visible.	src/lib/native-context-menu.ts; src/lib/scroll-thumb-fade.ts	src/test/native-context-menu.test.ts; src/test/scroll-thumb-fade.test.ts	Automated pass	None logged	P3	Covered by repository automated suites in this QA pass.
JUN-078	Quality	Notifications and sounds	As a user, I want recording sounds and agent notifications to be helpful but not noisy.	Recording cues preload and play best effort; agent cues stay silent on send and cancellation, announce true-idle completion or unseen input needs with branded local audio, suppress audio while watched or capturing, and pair away-app cues with a silent native notification.	src/lib/interface-sounds.ts; src/lib/agent-notifications.ts; src/lib/hermes-run-settlement.ts; src/app/App.tsx	src/test/recording-sounds.test.ts; src/test/agent-sounds.test.ts; src/test/agent-notifications.test.ts; src/test/hermes-run-settlement.test.ts	Automated pass; browser smoke pass	None logged	P2	The dev-only __juneSounds hook played each cue and the full five-sound family in order; the Agent sounds setting persisted its toggle state in browser smoke QA.
JUN-079	Release/update	App updater	As a user, I want update checks and install prompts to be clear.	App performs periodic update checks after launch gates clear, supports manual check, downloads update with progress, handles failed downloads, and relaunches after install.	src/app/App.tsx; src/app/update-decision.ts; src/lib/updater.ts	src/test/app-shortcut.test.tsx; src/test/update-decision.test.ts	Automated pass	None logged	P1	Covered by repository automated suites in this QA pass.
JUN-080	Cross-cutting	Error and copy conventions	As a user, I want errors and labels to be readable and consistent.	Errors are converted to user-facing messages, no user-facing en dash or em dash copy is introduced, labels use sentence case, and icons come only from central-icons packages.	AGENTS.md; CLAUDE.md; src/lib/errors.ts; src/lib/model-privacy.ts; src/components/settings/AppSettings.tsx; src/components/agent/AgentWorkspace.tsx	src/test/model-privacy.test.ts; pnpm test; pnpm run lint	Automated pass; fixed and retested	Fixed: removed user-facing em dash from anonymous model privacy copy	P1	Grep found one user-facing em dash in src/lib/model-privacy.ts. Replaced with sentence break; model privacy test and typecheck pass. Lucide scan clean. Retested after anonymous model privacy copy fix.
JUN-081	Quality	Local native dev side-by-side	As a contributor, I want to run the native Tauri dev app while the installed production June app is still open so I can test local changes without disrupting my daily app.	Debug builds do not register the single-instance plugin by default, release builds still register it before deep-link handling, debug app data and OS Accounts tokens are isolated from production by default, and pnpm tauri:dev starts the local API plus native dev process beside production June.	src-tauri/src/lib.rs; src-tauri/src/app_paths.rs; src-tauri/src/os_accounts.rs; scripts/tauri-dev.mjs; scripts/cargo-os-june-runner.sh	pnpm test:rust; pnpm tauri:dev	Automated pass; fixed and retested	Fixed: debug builds skip single-instance registration by default and isolate app data/accounts tokens by default	P1	Before fix, pnpm tauri:dev handed off to the installed app or left no inspectable dev app. Added debug-only single-instance bypass, debug app-data isolation, and debug OS Accounts token isolation with unit tests. Retested pnpm tauri:dev: /Users/junhohong/code/open-software/os-june/src-tauri/target/debug/June and target/debug/june serve run beside /Applications/June.app.
JUN-278	Plugins	Computer use	As a Mac user, I want to authorize one selected app once for the current task, then let June operate it without repeated prompts while I keep control of my pointer and Space.	One shared Pro/Max grant gates a pinned signed helper, separate Accessibility and Screen Recording setup, a vision-capable model, one task-scoped authorization per verified app, automatic Stage Manager grouping with June, exact target capture, stale-target revalidation, immediate stop/revoke, blocked sensitive surfaces, and no routine access.	src-tauri/src/computer_use.rs; src-tauri/src/hermes_bridge.rs; src-tauri/resources/hermes-mcp/june_computer_use_mcp.py; src/components/plugins; src/components/agent/ComputerUseApprovalsTray.tsx; scripts/computer-use-self-test.mjs	src/test/computer-use-control.test.tsx; src/test/computer-use-approvals-tray.test.tsx; src/test/hermes-routines.test.ts; src-tauri/src/computer_use.rs; scripts/computer-use-self-test.mjs; pnpm computer-use:self-test	Automated pass; signed live Stage Manager fixture pending	None logged	P0	App authorization lasts only for the active attended task. Stage Manager restore must be proven on the supported macOS matrix before release.
